"","Date","hour","TemperatureF","Dew_PointF","Humidity","month","DayOfWeek","Weekday","Peak_hour"
"222",2016-10-10,7,46,36,68,10,1,1,1
"223",2016-10-10,8,48,35.1,61,10,1,1,1
"224",2016-10-10,9,50,35.1,57,10,1,1,1
"225",2016-10-10,10,52,35.1,53,10,1,1,1
"226",2016-10-10,11,54,35.1,49,10,1,1,1
"227",2016-10-10,12,55.9,35.1,45,10,1,1,1
"228",2016-10-10,13,57,34,42,10,1,1,1
"229",2016-10-10,14,57.9,34,41,10,1,1,1
"230",2016-10-10,15,57.9,34,41,10,1,1,1
"231",2016-10-10,16,57.9,33.1,39,10,1,1,1
"232",2016-10-10,17,55,33.1,43,10,1,1,1
"233",2016-10-10,18,53.1,34,48,10,1,1,1
"234",2016-10-10,19,52,34,50,10,1,1,0
"235",2016-10-10,20,50,33.1,52,10,1,1,0
"236",2016-10-10,21,48.9,34,56,10,1,1,0
"237",2016-10-10,22,48,33.1,56,10,1,1,0
"238",2016-10-10,23,46.9,33.1,59,10,1,1,0
"239",2016-10-11,0,46,33.1,61,10,2,1,0
"240",2016-10-11,1,45,33.1,63,10,2,1,0
"241",2016-10-11,2,45,33.1,63,10,2,1,0
"242",2016-10-11,3,44.1,33.1,65,10,2,1,0
"243",2016-10-11,4,44.1,33.1,65,10,2,1,0
"244",2016-10-11,5,44.1,33.1,65,10,2,1,0
"245",2016-10-11,6,44.1,33.1,65,10,2,1,0
"246",2016-10-11,7,45,34,65,10,2,1,1
"247",2016-10-11,8,48.9,34,56,10,2,1,1
"248",2016-10-11,9,54,34,47,10,2,1,1
"249",2016-10-11,10,55.9,32,40,10,2,1,1
"250",2016-10-11,11,59,30.9,35,10,2,1,1
"251",2016-10-11,12,57.9,37,46,10,2,1,1
"252",2016-10-11,13,57.9,30.9,36,10,2,1,1
"253",2016-10-11,14,57.9,33.1,39,10,2,1,1
"254",2016-10-11,15,57.9,34,41,10,2,1,1
"255",2016-10-11,16,57.9,35.1,42,10,2,1,1
"256",2016-10-11,17,55.9,42.1,60,10,2,1,1
"257",2016-10-11,18,55,41,59,10,2,1,1
"258",2016-10-11,19,54,43,66,10,2,1,0
"259",2016-10-11,20,52,42.1,69,10,2,1,0
"260",2016-10-11,21,52,41,66,10,2,1,0
"261",2016-10-11,22,51.1,39,63,10,2,1,0
"262",2016-10-11,23,52,37.9,59,10,2,1,0
"263",2016-10-12,0,48.9,39,69,10,3,1,0
"264",2016-10-12,1,48.9,42.1,77,10,3,1,0
"265",2016-10-12,2,48.9,42.1,77,10,3,1,0
"266",2016-10-12,3,48.9,44.1,83,10,3,1,0
"267",2016-10-12,4,48.9,45,86,10,3,1,0
"268",2016-10-12,5,48.9,44.1,83,10,3,1,0
"269",2016-10-12,6,48.9,45,86,10,3,1,0
"270",2016-10-12,7,51.1,46,83,10,3,1,1
"271",2016-10-12,8,54,46,75,10,3,1,1
"272",2016-10-12,9,55.9,46.9,72,10,3,1,1
"273",2016-10-12,10,59,48,67,10,3,1,1
"274",2016-10-12,11,60.1,48,64,10,3,1,1
"275",2016-10-12,12,61,50,67,10,3,1,1
"276",2016-10-12,13,62.1,48,60,10,3,1,1
"277",2016-10-12,14,62.1,48,60,10,3,1,1
"278",2016-10-12,15,61,51.1,70,10,3,1,1
"279",2016-10-12,16,62.1,53.1,72,10,3,1,1
"280",2016-10-12,17,60.1,53.1,78,10,3,1,1
"281",2016-10-12,18,59,51.1,75,10,3,1,1
"282",2016-10-12,19,57,51.1,81,10,3,1,0
"283",2016-10-12,20,55.9,48,75,10,3,1,0
"284",2016-10-12,21,54,50,86,10,3,1,0
"285",2016-10-12,22,53.1,51.1,93,10,3,1,0
"286",2016-10-12,23,53.1,51.1,93,10,3,1,0
"287",2016-10-13,0,52,51.1,97,10,4,1,0
"288",2016-10-13,1,52,51.1,97,10,4,1,0
"289",2016-10-13,2,52,51.1,97,10,4,1,0
"290",2016-10-13,3,54,52,93,10,4,1,0
"291",2016-10-13,4,55,53.1,93,10,4,1,0
"292",2016-10-13,5,55,53.1,93,10,4,1,0
"293",2016-10-13,6,55,53.1,93,10,4,1,0
"294",2016-10-13,7,55.9,54,93,10,4,1,1
"295",2016-10-13,8,57.9,55,90,10,4,1,1
"296",2016-10-13,9,63,57.9,84,10,4,1,1
"297",2016-10-13,10,64.9,57.9,78,10,4,1,1
"298",2016-10-13,11,66.45,56.45,70,10,4,1,1
"299",2016-10-13,12,69.1,55,61,10,4,1,1
